"ING_SEQ","ING_NM","VEGE_CLASS_SEQ","EMISSIONS"
"100","소고기","1","59.60"
"200","양고기","1","24.50"
"300","치즈","5","21.20"
"400","젖소","1","21.10"
"500","초콜렛","5","18.70"
"600","커피","5","16.50"
"700","새우","3","11.80"
"800","돼지고기","1","7.20"
"900","가금류 고기","2","6.10"
"1000","양식 해산물","3","5.10"
"1100","달걀","4","4.50"
"1200","쌀","6","4.00"
"1300","두부","6","3.00"
"1400","우유,유제품","5","2.80"
"1500","토마토","6","1.40"
"1600","바나나","6","0.80"
"1700","식용유","6","6.00"
"1800","올리브유","6","6.00"
"1900","카놀라유","6","3.70"
"2000","해바라기유","6","3.50"
"2100","설탕","6","2.60"
"2200","땅콩","6","2.40"
"2300","오트밀","6","1.60"
"2400","콩류","6","1.60"
"2500","밀, 호밀","6","1.40"
"2600","비트 슈가","6","1.40"
"2700","와인","6","1.40"
"2800","옥수수","6","1.10"
"2900","보리 (맥주)","6","1.10"
"3000","베리/포도류","6","1.10"
"3100","두유","6","1.00"
"3200","카사바","6","0.90"
"3300","완두콩","6","0.80"
"3400","과일류","6","0.70"
"3500","채소류","6","0.50"
"3600","배추속채소","6","0.40"
"3700","양파/부추속채소","6","0.30"
"3800","뿌리채소","6","0.30"
"3900","사과,감귤류","6","0.30"
"4000","견과류","6","0.20"
"100101","갈비","1","59.60"
"100102","갈은 소고기","1","59.60"
"100103","갈은소고기","1","59.60"
"100104","다진 소고기","1","59.60"
"100105","다진 쇠고기","1","59.60"
"100106","다진소고기","1","59.60"
"100107","다진쇠고기","1","59.60"
"100108","미트소스","1","59.60"
"100109","사골육수","1","59.60"
"100110","소 채끝살","1","59.60"
"100111","소고기","1","59.60"
"100112","소고기 갈비","1","59.60"
"100113","소안심살","1","59.60"
"100114","소고기 등심","1","59.60"
"100115","소고기 살치살","1","59.60"
"100116","소고기 안심","1","59.60"
"100117","쇠갈비","1","59.60"
"100118","소고기 우둔살","1","59.60"
"100119","소고기 홍두깨살","1","59.60"
"100120","소고기갈비","1","59.60"
"100121","소고기등심","1","59.60"
"100122","소채끝살","1","59.60"
"100123","쇠고기 안심살","1","59.60"
"100124","쇠고기","1","59.60"
"100125","쇠갈비살","1","59.60"
"100126","소고기살치살","1","59.60"
"100127","소고기안심","1","59.60"
"100128","소고기우둔살","1","59.60"
"100129","소고기홍두깨살","1","59.60"
"100130","소등심","1","59.60"
"100131","소불고기","1","59.60"
"100132","쇠고기 앞다리살","1","59.60"
"100133","쇠고기 양지","1","59.60"
"100134","쇠고기 우둔","1","59.60"
"100135","쇠고기 우둔살","1","59.60"
"100136","쇠고기 홍두깨살","1","59.60"
"100137","쇠고기갈비","1","59.60"
"100138","쇠고기구이용","1","59.60"
"100139","쇠고기등심","1","59.60"
"100140","쇠고기등심 슬라이스","1","59.60"
"100141","쇠고기등심슬라이스","1","59.60"
"100142","쇠고기사태살","1","59.60"
"100143","쇠고기안심살","1","59.60"
"100144","쇠고기앞다리살","1","59.60"
"100145","쇠고기양지","1","59.60"
"100146","쇠고기우둔","1","59.60"
"100147","쇠고기우둔살","1","59.60"
"100148","쇠고기육수","1","59.60"
"100149","쇠고기홍두깨살","1","59.60"
"100150","쇠우둔살","1","59.60"
"100151","얇게 썬 쇠고기","1","59.60"
"100152","얇게 썬 쇠고기 부채살","1","59.60"
"100153","얇게썬쇠고기부채살","1","59.60"
"100154","양지","1","59.60"
"100155","우민찌","1","59.60"
"100156","우삼겹","1","59.60"
"100157","찜갈비","1","59.60"
"100158","차돌박이","1","59.60"
"100159","채 썬 쇠고기 우둔살","1","59.60"
"100160","채썬쇠고기우둔살","1","59.60"
"100161","홍두깨살","1","59.60"
"100162","사골곰탕가루","1","59.60"
"100163","소고기다시다","1","59.60"
"100164","사골","1","59.60"
"100165","등심스테이크","1","59.60"
"100166","육회","1","59.60"
"100167","소사골","1","59.60"
"100168","우족","1","59.60"
"100169","소잡뼈","1","59.60"
"100170","사태살","1","59.60"
"100171","사태","1","59.60"
"100172","한우도가니","1","59.60"
"100173","소고기양지","1","59.60"
"200101","양고기","1","24.50"
"300101","그라나파다노 치즈","5","21.20"
"300102","그라나파다노치즈","5","21.20"
"300103","리코타 치즈","5","21.20"
"300104","리코타치즈","5","21.20"
"300105","모짜렐라치즈","5","21.20"
"300106","생 모짜렐라치즈","5","21.20"
"300107","생모짜렐라치즈","5","21.20"
"300108","생치즈","5","21.20"
"300109","어린이치즈","5","21.20"
"300110","저염치즈","5","21.20"
"300111","치즈","5","21.20"
"300112","치즈가루","5","21.20"
"300113","크림치즈","5","21.20"
"300114","파르메산 치즈가루","5","21.20"
"300115","파르메산치즈가루","5","21.20"
"300116","파마산 치즈가루","5","21.20"
"300117","파마산치즈","5","21.20"
"300118","파마산치즈가루","5","21.20"
"300119","피자치즈","5","21.20"
"300120","에벤탈치즈","5","21.20"
"400101","젖소","1","21.10"
"500101","다크초콜릿","5","18.70"
"500102","블랙초콜릿","5","18.70"
"500103","초콜렛","5","18.70"
"500104","초콜릿","5","18.70"
"500105","코코아","5","18.70"
"600101","커피","5","16.50"
"700101","건 새우가루","3","11.80"
"700102","건새우","3","11.80"
"700103","건새우가루","3","11.80"
"700104","마른새우","3","11.80"
"700105","보리새우","3","11.80"
"700106","새우","3","11.80"
"700107","새우 대하","3","11.80"
"700108","새우가루","3","11.80"
"700109","새우대하","3","11.80"
"700110","새우살","3","11.80"
"700111","새우젓","3","11.80"
"700112","새우젓국","3","11.80"
"700113","자숙새우","3","11.80"
"700114","칵테일 새우","3","11.80"
"700115","칵테일새우","3","11.80"
"800101","갈은 돼지고기","1","7.20"
"800102","갈은돼지고기","1","7.20"
"800103","건강생각햄","1","7.20"
"800104","다진 돼지 앞다리살","1","7.20"
"800105","다진 돼지고기","1","7.20"
"800106","다진 돼지고기 등심","1","7.20"
"800107","다진 돼지고기 우둔","1","7.20"
"800108","다진 돼지고기등심","1","7.20"
"800109","다진돼지고기","1","7.20"
"800110","다진돼지고기등심","1","7.20"
"800111","다진돼지고기우둔","1","7.20"
"800112","다진돼지앞다리살","1","7.20"
"800113","돼지고기 통삼겹살","1","7.20"
"800114","돈 등뼈","1","7.20"
"800115","돈등뼈","1","7.20"
"800116","돈육다짐육","1","7.20"
"800117","돼지고기목살","1","7.20"
"800118","돼지 소장","1","7.20"
"800119","돼지 소장 소시지용 케이싱 사용","1","7.20"
"800120","돼지고기","1","7.20"
"800121","돼지고기 등심","1","7.20"
"800122","돼지고기등심","1","7.20"
"800123","돼지고기삼겹살","1","7.20"
"800124","돼지고기사태","1","7.20"
"800125","돼지고기불고기용","1","7.20"
"800126","돼지고기 목살","1","7.20"
"800127","돼지고기 불고기용","1","7.20"
"800128","돼지고기 사태","1","7.20"
"800129","돼지고기 삼겹살","1","7.20"
"800130","돼지고기 안심","1","7.20"
"800131","돼지고기 앞다리살","1","7.20"
"800132","돼지고기안심","1","7.20"
"800133","돼지고기앞다리살","1","7.20"
"800134","돼지고기통삼겹살","1","7.20"
"800135","돼지등심","1","7.20"
"800136","돼지머리","1","7.20"
"800137","돼지사태","1","7.20"
"800138","돼지소장","1","7.20"
"800139","돼지소장소시지용케이싱사용","1","7.20"
"800140","목살","1","7.20"
"800141","베이컨","1","7.20"
"800142","삼겹살","1","7.20"
"800143","소시지","1","7.20"
"800144","스팸 마일드","1","7.20"
"800145","스팸(마일드)","1","7.20"
"800146","스팸마일드","1","7.20"
"800147","슬라이스햄","1","7.20"
"800148","양념족발","1","7.20"
"800149","우리팜델리","1","7.20"
"800150","우리팜델리 스팸","1","7.20"
"800151","우리팜델리스팸","1","7.20"
"800152","육수 돼지고기","1","7.20"
"800153","육수 돼지고기 삼겹살","1","7.20"
"800154","육수돼지고기삼겹살","1","7.20"
"800155","저염베이컨","1","7.20"
"800156","저염살라미","1","7.20"
"800157","저염스모크햄","1","7.20"
"800158","저염햄","1","7.20"
"800159","젤라틴","1","7.20"
"800160","채 썬 돼지고기","1","7.20"
"800161","채썬돼지고기","1","7.20"
"800162","통삼겹살","1","7.20"
"800163","통조림 햄","1","7.20"
"800164","통조림햄","1","7.20"
"800165","판젤라틴","1","7.20"
"800166","햄","1","7.20"
"800167","후랑크소시지","1","7.20"
"800168","군만두","1","7.20"
"800169","돼지고기막창","1","7.20"
"800170","돼지고기대창","1","7.20"
"800171","순대","1","7.20"
"800172","돼지내장","1","7.20"
"800173","리챔","1","7.20"
"800174","돼지껍데기","1","7.20"
"800175","만두","1","7.20"
"800176","스팸","1","7.20"
"800177","족발","1","7.20"
"800178","동그랑땡","1","7.20"
"900101","닭","2","6.10"
"900102","닭 가슴살","2","6.10"
"900103","닭 육수","2","6.10"
"900104","닭 잡뼈","2","6.10"
"900105","닭가슴살","2","6.10"
"900106","닭고기","2","6.10"
"900107","닭고기 가슴살","2","6.10"
"900108","닭고기 다리","2","6.10"
"900109","닭고기가슴살","2","6.10"
"900110","닭고기다리","2","6.10"
"900111","닭고기살","2","6.10"
"900112","닭다리","2","6.10"
"900113","닭다리 살","2","6.10"
"900114","닭다리살","2","6.10"
"900115","닭봉","2","6.10"
"900116","닭뼈","2","6.10"
"900117","닭안심살","2","6.10"
"900118","닭육수","2","6.10"
"900119","닭육수 닭다리","2","6.10"
"900120","닭육수닭다리","2","6.10"
"900121","닭잡뼈","2","6.10"
"900122","메추라기","2","6.10"
"900123","삶은 닭가슴살","2","6.10"
"900124","삶은닭가슴살","2","6.10"
"900125","오리","2","6.10"
"900126","오리고기","2","6.10"
"900127","오리고기 훈제오리 가슴살","2","6.10"
"900128","오리고기훈제오리가슴살","2","6.10"
"900129","치킨스톡","2","6.10"
"900130","훈제오리 가슴살","2","6.10"
"900131","훈제오리가슴살","2","6.10"
"900132","훈제오리","2","6.10"
"900133","오리불고기","2","6.10"
"900134","닭날개","2","6.10"
"1000101","가다랑어장국","3","5.10"
"1000102","가다랑어포","3","5.10"
"1000103","가쓰오부시","3","5.10"
"1000104","가자미","3","5.10"
"1000105","간편 어간장","3","5.10"
"1000106","간편어간장","3","5.10"
"1000107","게맛살","3","5.10"
"1000108","고등어","3","5.10"
"1000109","관자","3","5.10"
"1000110","광어","3","5.10"
"1000111","국멸치","3","5.10"
"1000112","국물용 멸치","3","5.10"
"1000113","국물용멸치","3","5.10"
"1000114","굴","3","5.10"
"1000115","굴소스","3","5.10"
"1000116","꼬막","3","5.10"
"1000117","꼬막살","3","5.10"
"1000118","꽁치","3","5.10"
"1000119","꽁치살","3","5.10"
"1000120","꽃게","3","5.10"
"1000121","낙지","3","5.10"
"1000122","낙지 다리","3","5.10"
"1000123","낙지다리","3","5.10"
"1000124","날치알","3","5.10"
"1000125","냉동고등어","3","5.10"
"1000126","대구 손질된 것","3","5.10"
"1000127","논우렁","3","5.10"
"1000128","다시멸치","3","5.10"
"1000129","대구","3","5.10"
"1000130","대구살","3","5.10"
"1000131","대구손질된 것","3","5.10"
"1000132","대구손질된것","3","5.10"
"1000133","대하","3","5.10"
"1000134","데친 꼬막살","3","5.10"
"1000135","데친꼬막살","3","5.10"
"1000136","동태살","3","5.10"
"1000137","동태포","3","5.10"
"1000138","뒤포리","3","5.10"
"1000139","뒤포리 밴댕이","3","5.10"
"1000140","뒤포리밴댕이","3","5.10"
"1000141","마른멸치","3","5.10"
"1000142","멸치","3","5.10"
"1000143","멸치가루","3","5.10"
"1000144","멸치다시마육수","3","5.10"
"1000145","멸치액젓","3","5.10"
"1000146","멸치육수","3","5.10"
"1000147","멸치젓갈","3","5.10"
"1000148","명태","3","5.10"
"1000149","명태코다리","3","5.10"
"1000150","모시조개","3","5.10"
"1000151","문어","3","5.10"
"1000152","민어","3","5.10"
"1000153","바지락","3","5.10"
"1000154","바지락 모시조개","3","5.10"
"1000155","바지락모시조개","3","5.10"
"1000156","바지락살","3","5.10"
"1000157","백합","3","5.10"
"1000158","밴댕이","3","5.10"
"1000159","북어","3","5.10"
"1000160","북어머리","3","5.10"
"1000161","북어채","3","5.10"
"1000162","삼치","3","5.10"
"1000163","생선살","3","5.10"
"1000164","소라","3","5.10"
"1000165","소라살","3","5.10"
"1000166","손질한 고등어","3","5.10"
"1000167","손질한고등어","3","5.10"
"1000168","슬라이스연어","3","5.10"
"1000169","아귀","3","5.10"
"1000170","어간장","3","5.10"
"1000171","어묵","3","5.10"
"1000172","연어","3","5.10"
"1000173","연어 훈제연어","3","5.10"
"1000174","연어훈제연어","3","5.10"
"1000175","오징어","3","5.10"
"1000176","오징어 1마리","3","5.10"
"1000177","오징어 몸통","3","5.10"
"1000178","오징어1마리","3","5.10"
"1000179","오징어먹물","3","5.10"
"1000180","오징어몸통","3","5.10"
"1000181","오징어살","3","5.10"
"1000182","우렁이","3","5.10"
"1000183","장어","3","5.10"
"1000184","전복","3","5.10"
"1000185","조개","3","5.10"
"1000186","조개 관자","3","5.10"
"1000187","조개관자","3","5.10"
"1000188","조갯살","3","5.10"
"1000189","조기","3","5.10"
"1000190","주꾸미","3","5.10"
"1000191","참전복","3","5.10"
"1000192","참치","3","5.10"
"1000193","참치 통조림","3","5.10"
"1000194","참치통조림","3","5.10"
"1000195","캔 참치","3","5.10"
"1000196","캔참치","3","5.10"
"1000197","코다리","3","5.10"
"1000198","통오징어","3","5.10"
"1000199","통조림 연어","3","5.10"
"1000200","통조림연어","3","5.10"
"1000201","해물육수","3","5.10"
"1000202","홍합","3","5.10"
"1000203","황태","3","5.10"
"1000204","황태머리","3","5.10"
"1000205","황태채","3","5.10"
"1000206","황태포","3","5.10"
"1000207","훈제연어","3","5.10"
"1000208","맛살","3","5.10"
"1000209","진미채","3","5.10"
"1000210","대구곤이","3","5.10"
"1000211","멸치다시육수","3","5.10"
"1000212","양미리","3","5.10"
"1000213","돔베기","3","5.10"
"1000214","병어","3","5.10"
"1000215","임연수","3","5.10"
"1000216","까나리액젓","3","5.10"
"1000217","우렁","3","5.10"
"1000218","재첩","3","5.10"
"1000219","농어","3","5.10"
"1000220","동태","3","5.10"
"1000221","갈치","3","5.10"
"1000222","꽁치통조림","3","5.10"
"1000223","조개육수","3","5.10"
"1000224","아구","3","5.10"
"1100101","계란","4","4.50"
"1100102","노른자","4","4.50"
"1100103","달걀","4","4.50"
"1100104","달걀노른자","4","4.50"
"1100105","달걀지단","4","4.50"
"1100106","달걀흰자","4","4.50"
"1100107","마요네즈","4","4.50"
"1100108","메추리알","4","4.50"
"1100109","삶은 달걀","4","4.50"
"1100110","삶은 메추리알","4","4.50"
"1100111","삶은달걀","4","4.50"
"1100112","삶은메추리알","4","4.50"
"1100113","스파게티","4","4.50"
"1100114","스파게티면","4","4.50"
"1100115","지단","4","4.50"
"1100116","페투치네","4","4.50"
"1100117","펜네","4","4.50"
"1100118","카스텔라","4","4.50"
"1200101","가는 쌀국수","6","4.00"
"1200102","가래떡","6","4.00"
"1200103","가래떡면","6","4.00"
"1200104","검은쌀","6","4.00"
"1200105","검은콩튀밥","6","4.00"
"1200106","귀리","6","4.00"
"1200107","귀리밥","6","4.00"
"1200108","누룽지","6","4.00"
"1200109","누룽지가루","6","4.00"
"1200110","떡국떡","6","4.00"
"1200111","떡볶이 떡","6","4.00"
"1200112","떡볶이용 떡","6","4.00"
"1200113","라이스페이퍼","6","4.00"
"1200114","맵쌀가루","6","4.00"
"1200115","메닐튀밥","6","4.00"
"1200116","멥쌀","6","4.00"
"1200117","미숫가루","6","4.00"
"1200118","밥","6","4.00"
"1200119","밥 또는 파스타","6","4.00"
"1200120","백미","6","4.00"
"1200121","볶은 현미","6","4.00"
"1200122","볶은현미","6","4.00"
"1200123","불린 쌀","6","4.00"
"1200124","쌀","6","4.00"
"1200125","쌀가루","6","4.00"
"1200126","쌀국수","6","4.00"
"1200127","쌀떡","6","4.00"
"1200128","쌀밥","6","4.00"
"1200129","쌀튀밥","6","4.00"
"1200130","쌀파스타면","6","4.00"
"1200131","오곡밥","6","4.00"
"1200132","잡곡밥","6","4.00"
"1200133","정종","6","4.00"
"1200134","젖은 찹쌀가루","6","4.00"
"1200135","조랭이 떡","6","4.00"
"1200136","조랭이떡","6","4.00"
"1200137","찹쌀","6","4.00"
"1200138","찹쌀가루","6","4.00"
"1200139","찹쌀떡","6","4.00"
"1200140","청주","6","4.00"
"1200141","퀴노아","6","4.00"
"1200142","현미","6","4.00"
"1200143","현미(불린것)","6","4.00"
"1200144","현미가루","6","4.00"
"1200145","현미밥","6","4.00"
"1200146","현미쌀","6","4.00"
"1200147","현미유","6","4.00"
"1200148","현미찹쌀","6","4.00"
"1200149","현미튀밥","6","4.00"
"1200150","흑미","6","4.00"
"1200151","흰쌀","6","4.00"
"1200152","백설기","6","4.00"
"1300101","두부","6","3.00"
"1300102","두부작은것","6","3.00"
"1300103","순두부","6","3.00"
"1300104","연두부","6","3.00"
"1300105","유부","6","3.00"
"1300106","으깬 두부","6","3.00"
"1300107","판두부","6","3.00"
"1300108","포두부","6","3.00"
"1300109","흑두부","6","3.00"
"1400101","무염버터","5","2.80"
"1400102","버터","5","2.80"
"1400103","생크림","5","2.80"
"1400104","연유","5","2.80"
"1400105","요거트","5","2.80"
"1400106","우유","5","2.80"
"1400107","저염버터","5","2.80"
"1400108","저지방우유","5","2.80"
"1400109","파마산가루","5","2.80"
"1400110","플레인 요구르트","5","2.80"
"1400111","플레인요거트","5","2.80"
"1400112","플레인요구르트","5","2.80"
"1400113","호상요구르트","5","2.80"
"1400114","화이트크림","5","2.80"
"1400115","휘핑크림","5","2.80"
"1500101","건조토마토","6","1.40"
"1500102","다진 토마토","6","1.40"
"1500103","말린 토마토","6","1.40"
"1500104","방울토마토","6","1.40"
"1500105","줄기토마토","6","1.40"
"1500106","체리토마토","6","1.40"
"1500107","캔 토마토","6","1.40"
"1500108","캔토마토","6","1.40"
"1500109","토마토","6","1.40"
"1500110","토마토 칠리소스","6","1.40"
"1500111","토마토소스","6","1.40"
"1500112","토마토케첩","6","1.40"
"1500113","토마토콩카세","6","1.40"
"1500114","토마토페이스트","6","1.40"
"1500115","토마토홀캔","6","1.40"
"1500116","토마토홍캔","6","1.40"
"1500117","홀토마토","6","1.40"
"1600101","바나나","6","0.80"
"1600102","바나나식초","6","0.80"
"1600103","바닐라빈","6","0.80"
"1700101","대두유","6","6.00"
"1700102","들기름","6","6.00"
"1700103","식용유","6","6.00"
"1700104","콩기름","6","6.00"
"1800101","올리브유","6","6.00"
"1800102","올리브오일","6","6.00"
"1900101","카놀라유","6","3.70"
"2000101","해바라기유","6","4.50"
"2100101","겨자소스설탕","6","2.60"
"2100102","단촛물설탕","6","2.60"
"2100103","레몬소스설탕","6","2.60"
"2100104","설탕","6","2.60"
"2100105","황설탕","6","2.60"
"2100106","흑설탕","6","2.60"
"2200101","다진 땅콩","6","2.40"
"2200102","다진땅콩","6","2.40"
"2200103","땅콩","6","2.40"
"2200104","땅콩가루","6","2.40"
"2200105","땅콩버터","6","2.40"
"2300101","그라놀라","6","1.60"
"2300102","오트밀","6","1.60"
"2400101","강낭콩","6","1.60"
"2400102","거피녹두","6","1.60"
"2400103","검은콩","6","1.60"
"2400104","검정깨묵","6","1.60"
"2400105","그린빈","6","1.60"
"2400106","날콩가루","6","1.60"
"2400107","녹두","6","1.60"
"2400108","녹두묵","6","1.60"
"2400109","대두","6","1.60"
"2400110","도토리묵","6","1.60"
"2400111","된장","6","1.60"
"2400112","렌틸콩","6","1.60"
"2400113","메밀묵","6","1.60"
"2400114","메주콩","6","1.60"
"2400115","미소된장","6","1.60"
"2400116","밤콩","6","1.60"
"2400117","백앙금","6","1.60"
"2400118","백태","6","1.60"
"2400119","병아리콩","6","1.60"
"2400120","불린 병아리콩","6","1.60"
"2400121","비지","6","1.60"
"2400122","서리태","6","1.60"
"2400123","울방개묵","6","1.60"
"2400124","저염된장","6","1.60"
